id,name,category
electricity-supply_grid-source_supplier_mix,Electricity supplied from grid,Electricity
accommodation-type_hotel_stay,Hotel stay,Accommodation
electricity-supply_grid-source_residual_mix,Electricity supplied from grid - residual mix,Electricity
accommodation-type_hotel_stay-rating_3_star,Hotel stay (3 star),Accommodation
accommodation-type_hotel_stay-rating_4_star,Hotel stay (4 star),Accommodation
accommodation-type_hotel_stay-rating_2_star,Hotel stay (2 star),Accommodation
accommodation-type_hotel_stay-rating_5_star,Hotel stay (5 star),Accommodation
electricity-supply_grid-source_production_mix,Electricity supplied from grid - production mix,Electricity
electricity-supply_grid-source_total_supplier_mix,Electricity supplied from grid - total supplier mix,Electricity
electricity-supply_grid-source_supplier_mix_losses,Electricity supplied from grid: T&D losses,Electricity
electricity-supply_grid-source_supplier_mix_non_baseload,Electricity supplied from grid (non-baseload),Electricity
building_materials-type_cement_production,Cement production,Building Materials
fuel-type_natural_gas-fuel_use_industrial,Natural gas (industrial subsector),Fuel
fuel-type_natural_gas-fuel_use_electric_utilities,Natural gas (electric utilities subsector),Fuel
fuel-type_natural_gas-fuel_use_manufacturing,Natural gas (manufacturing industries subsector),Fuel
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,Natural gas (residential / construction / commercial / institutional / agriculture subsector),Fuel
fuel-type_oil_and_gas-fuel_use_na,Oil and gas,Fuel
fuel-type_motor_gasoline-fuel_use_na,Motor gasoline,Fuel
chemicals-type_ammonia,Ammonia,Chemical Products
chemicals-type_ammonium_nitrate,Ammonium nitrate,Chemical Products
chemicals-type_ammonium_nitrate_caco3_or_inorganic_non_fertilisers,Ammonium nitrate - CaCO3 or inorganic non-fertilisers,Chemical Products
chemicals-type_ammonium_sulphate,Ammonium sulphate,Chemical Products
chemicals-type_diammonium_phosphate,Diammonium phosphate,Chemical Products
chemicals-type_double_salts_ammonium_sulphate_nitrate,Double salts ammonium sulphate / nitrate,Chemical Products
chemicals-type_double_salts_mixtures_ammonium_sulphate_nitrate,Double salts mixtures ammonium sulphate / nitrate,Chemical Products
chemicals-type_fertilisers_containing_npk,Fertilisers containing NPK,Chemical Products
chemicals-type_mixes_of_urea_and_ammonium_nitrate,Mixes of urea and ammonium nitrate,Chemical Products
chemicals-type_monoammonium_phosphate,Monoammonium phosphate,Chemical Products
chemicals-type_nitrates_of_potassium,Nitrates of potassium,Chemical Products
chemicals-type_nitric_acid_sulphonitric_acids,Nitric acid sulphonitric acids,Chemical Products
chemicals-type_other_np_fertilisers,Other NP fertilisers,Chemical Products
chemicals-type_other_np_fertilisers_excl._nitrates_phosphates,Other NP fertilisers (excl. nitrates phosphates),Chemical Products
chemicals-type_sodium_nitrate,Sodium nitrate,Chemical Products
chemicals-type_urea,Urea,Chemical Products
fuel-type_naphtha-fuel_use_na,Naphtha,Fuel
metals-type_steel_production,Steel production,Metals
mined_materials-type_coal,Fugitive methane emissions from coal mining,Mined Materials
building_materials-type_aluminous_cement,Aluminous cement,Building Materials
building_materials-type_calcined_clay,Calcined clay,Building Materials
building_materials-type_cem_i_grey_portland_cement,CEM I grey (portland cement),Building Materials
building_materials-type_cem_i_white_portland_cement,CEM I white (portland cement),Building Materials
building_materials-type_grey_clinker,Grey clinker,Building Materials
building_materials-type_other_grey_cements,Other grey cements,Building Materials
building_materials-type_other_white_cements,Other white cements,Building Materials
building_materials-type_white_clinker,White clinker,Building Materials
fuel-type_petroleum_coke-fuel_use_na,Petroleum coke,Fuel
metals-type_alloy_steel_flat_rolled_gt_600mm_cold_rolled_annealed,Alloy steel - flat-rolled >600mm cold-rolled annealed,Metals
metals-type_alloy_steel_flat_rolled_gt_600mm_hot_rolled,Alloy steel - flat-rolled >600mm hot-rolled,Metals
metals-type_alloy_steel_flat_rolled_gt_600mm_plated_coated,Alloy steel - flat-rolled >600mm plated coated,Metals
metals-type_alloy_steel_flat_rolled_lt_600mm_cold_rolled_annealed,Alloy steel - flat-rolled <600mm cold-rolled annealed,Metals
metals-type_alloy_steel_flat_rolled_lt_600mm_hot_rolled,Alloy steel - flat-rolled <600mm hot-rolled,Metals
metals-type_alloy_steel_flat_rolled_lt_600mm_plated_coated,Alloy steel - flat-rolled <600mm plated coated,Metals
metals-type_alloy_steel_primary_hot_rolled_flat,Alloy steel - primary - hot-rolled flat,Metals
metals-type_alloy_steel_primary_ingots_forgings,Alloy steel - primary ingots forgings,Metals
metals-type_aluminium_alloys_bars_rods,Aluminium - alloys - bars / rods,Metals
metals-type_aluminium_alloys_hollow_profiles,Aluminium - alloys - hollow profiles,Metals
metals-type_aluminium_alloys_profiles,Aluminium - alloys - profiles,Metals
metals-type_aluminium_not_alloyed_bars_rods,Aluminium - not alloyed - bars / rods,Metals
metals-type_aluminium_not_alloyed_profiles,Aluminium - not alloyed - profiles,Metals
metals-type_aluminium_powders_flakes,Aluminium - powders / flakes,Metals
metals-type_aluminium_unwrought,Aluminium - unwrought,Metals
metals-type_aluminium_wire,Aluminium - wire,Metals
metals-type_cast_iron_tube_pipe_fittings_forgings,Cast iron - tube pipe fittings forgings,Metals
metals-type_cast_steel_tube_pipe_fittings_forgings,Cast steel - tube pipe fittings forgings,Metals
metals-type_ferro_alloys_ferro_chromium,Ferro-alloys - ferro-chromium,Metals
metals-type_ferro_alloys_ferro_manganese,Ferro-alloys - ferro-manganese,Metals
metals-type_ferro_alloys_ferro_nickel,Ferro-alloys - ferro-nickel,Metals
metals-type_ferrous_products_direct_reduction_iron_core,Ferrous products - direct reduction iron core,Metals
metals-type_iron_non_alloy_steel_angles_shapes_sections,Iron non-alloy steel - angles shapes sections,Metals
metals-type_iron_non_alloy_steel_bars_rods_hot_rolled_coils,Iron non-alloy steel - bars rods hot-rolled coils,Metals
metals-type_iron_non_alloy_steel_bars_rods_hot_rolled_drawn_extruded_forgings,Iron non-alloy steel - bars rods hot-rolled drawn extruded forgings,Metals
metals-type_iron_non_alloy_steel_bars_rods_long,Iron non-alloy steel - bars / rods / long,Metals
metals-type_iron_non_alloy_steel_bars_rods_nec,Iron non-alloy steel - bars rods nec,Metals
metals-type_iron_non_alloy_steel_flat_rolled_gt_600mm_clad_plated_coated,Iron non-alloy steel - flat-rolled >600mm - clad plated coated,Metals
metals-type_iron_non_alloy_steel_flat_rolled_gt_600mm_cold_rolled,Iron non-alloy steel - flat-rolled >600mm cold-rolled,Metals
metals-type_iron_non_alloy_steel_flat_rolled_gt_600mm_hot_rolled,Iron non-alloy steel - flat-rolled >600mm hot-rolled,Metals
metals-type_iron_non_alloy_steel_flat_rolled_lt_600mm_clad_plated_coated,Iron non-alloy steel - flat-rolled <600mm clad plated coated,Metals
metals-type_iron_non_alloy_steel_flat_rolled_lt_600mm_hot_rolled,Iron non-alloy steel - flat-rolled <600mm hot-rolled,Metals
metals-type_iron_non_alloy_steel_flat_rolled_lt_600mm_hot_rolled_flat,Iron non-alloy steel - flat-rolled <600mm - hot-rolled flat,Metals
metals-type_iron_non_alloy_steel_forgings,Iron non-alloy steel - forgings,Metals
metals-type_iron_non_alloy_steel_hot_rolled_drawn_extruded_bars_rods_long,Iron non-alloy steel - hot-rolled drawn extruded - bars rods long,Metals
metals-type_iron_non_alloy_steel_plated_coated_wires,Iron non-alloy steel - plated coated wires,Metals
metals-type_iron_non_alloy_steel_primary_continuous_casting_slab_billet_bloom,Iron non-alloy steel - primary - continuous casting slab billet bloom,Metals
metals-type_iron_non_alloy_steel_primary_ingots,Iron non-alloy steel - primary - ingots,Metals
metals-type_iron_non_alloy_steel_wires,Iron non-alloy steel - wires,Metals
metals-type_iron_ores_concentrates,Iron ores concentrates,Metals
metals-type_iron_steel_alloy_1_tubes_pipes_hollow_profiles_cold_rolled_flat,Iron steel alloy 1 - tubes pipes hollow profiles cold-rolled flat,Metals
metals-type_iron_steel_alloy_2_tubes_pipes_hollow_profiles_cold_rolled_flat,Iron steel alloy 2 - tubes pipes hollow profiles cold-rolled flat,Metals
metals-type_iron_steel_alloy_tubes_pipes_hollow_profiles_hot_rolled_flat,Iron steel alloy - tubes pipes hollow profiles hot-rolled flat,Metals
metals-type_iron_steel_alloys_1_beams_billets_rails_and_tubes,Iron steel alloys 1 - beams billets rails and tubes,Metals
metals-type_iron_steel_alloys_2_beams_billets_rails_and_tubes,Iron steel alloys 2 - beams billets rails and tubes,Metals
metals-type_iron_steel_coach_wood_screws_hooks_rings,Iron steel - coach wood screws hooks rings,Metals
metals-type_iron_steel_containers_for_gas,Iron steel - containers for gas,Metals
metals-type_iron_steel_forged_stamped_sintered,Iron steel - forged stamped sintered,Metals
metals-type_iron_steel_granules_powders,Iron steel - granules / powders,Metals
metals-type_iron_steel_ladders_guttering_reels,Iron steel - ladders - guttering reels,Metals
metals-type_iron_steel_nuts,Iron steel - nuts,Metals
metals-type_iron_steel_other,Iron steel - other,Metals
metals-type_iron_steel_other_screws_bolts,Iron steel - other screws bolts,Metals
metals-type_iron_steel_other_tubes_and_pipes,Iron steel - other tubes and pipes,Metals
metals-type_iron_steel_other_washers,Iron steel - other washers,Metals
metals-type_iron_steel_railway_tramway_track,Iron steel - railway tramway track,Metals
metals-type_iron_steel_reservoirs_tanks_vats_containers_gt_300l,Iron steel - reservoirs tanks vats containers >300l,Metals
metals-type_iron_steel_rivets,Iron steel - rivets,Metals
metals-type_iron_steel_sheet_piling,Iron steel - sheet piling,Metals
metals-type_iron_steel_structures_parts,Iron steel - structures / parts,Metals
metals-type_iron_steel_tanks_casks_drums_cans_boxes_containers_lt_300l,Iron steel - tanks casks drums cans boxes containers <300l,Metals
metals-type_iron_steel_tube_pipe_fittings_beams_billets_rails_tubes,Iron steel - tube pipe fittings beams billets rails tubes,Metals
metals-type_iron_steel_tubes_pipes_hollow_hot_rolled_flat,Iron steel - tubes pipes hollow hot-rolled flat,Metals
metals-type_iron_steel_tubes_pipes_hollow_profiles_cold_rolled_annealed_flat,Iron steel - tubes pipes hollow profiles cold-rolled annealed flat,Metals
